,Location,Tom,Jerry,TL,TT,TW,TH,JL,JT,JW,JH
17,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test113.jpg,0,1,0,0,0,0,474,213,120,116
18,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test114.jpg,0,1,0,0,0,0,457,213,122,133
19,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test115.jpg,0,0,0,0,0,0,0,0,0,0
20,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test116.jpg,0,1,0,0,0,0,515,367,57,64
21,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test117.jpg,0,1,0,0,0,0,591,380,55,48
22,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test118.jpg,0,1,0,0,0,0,980,57,50,48
23,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test119.jpg,0,1,0,0,0,0,1034,38,69,43
24,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test12.jpg,0,0,0,0,0,0,0,0,0,0
25,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test120.jpg,1,0,473,240,149,174,0,0,0,0
26,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test121.jpg,1,0,969,167,114,229,0,0,0,0
27,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test122.jpg,0,0,0,0,0,0,0,0,0,0
28,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test123.jpg,0,0,0,0,0,0,0,0,0,0
29,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test124.jpg,1,0,533,318,390,219,0,0,0,0
30,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test125.jpg,1,0,588,174,296,163,0,0,0,0
31,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test126.jpg,0,1,0,0,0,0,574,364,95,79
32,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test127.jpg,0,1,0,0,0,0,779,367,111,70
33,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test128.jpg,1,0,466,145,140,160,0,0,0,0
34,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test129.jpg,1,0,771,195,120,142,0,0,0,0
35,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test13.jpg,1,0,616,209,114,197,0,0,0,0
36,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test130.jpg,0,1,0,0,0,0,436,346,100,71
37,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test131.jpg,0,0,0,0,0,0,0,0,0,0
38,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test132.jpg,0,0,0,0,0,0,0,0,0,0
39,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test133.jpg,0,0,0,0,0,0,0,0,0,0
40,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test134.jpg,0,1,0,0,0,0,834,347,45,39
41,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test135.jpg,0,0,0,0,0,0,0,0,0,0
42,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test136.jpg,0,1,0,0,0,0,367,299,41,36
43,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test137.jpg,0,1,0,0,0,0,429,592,62,50
44,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test138.jpg,0,1,0,0,0,0,240,276,58,36
45,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test139.jpg,0,1,0,0,0,0,900,344,42,44
46,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test14.jpg,1,0,672,222,195,154,0,0,0,0
47,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test140.jpg,0,1,0,0,0,0,341,258,112,100
48,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test141.jpg,0,1,0,0,0,0,340,258,114,100
49,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test142.jpg,0,1,0,0,0,0,364,259,105,89
50,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test143.jpg,0,1,0,0,0,0,295,293,94,120
51,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test144.jpg,0,0,0,0,0,0,0,0,0,0
52,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test145.jpg,0,0,0,0,0,0,0,0,0,0
53,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test146.jpg,0,1,0,0,0,0,663,376,111,74
54,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test147.jpg,0,1,0,0,0,0,447,398,112,71
55,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test148.jpg,0,0,0,0,0,0,0,0,0,0
56,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test149.jpg,1,1,632,130,161,133,1002,4,96,28
57,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test15.jpg,1,0,667,239,188,139,0,0,0,0
58,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test150.jpg,1,1,545,156,159,151,555,88,68,55
59,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test151.jpg,1,1,490,135,151,178,417,28,68,62
60,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test152.jpg,1,1,453,136,161,142,460,49,61,57
61,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test153.jpg,1,1,453,106,154,162,507,11,54,60
62,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test154.jpg,1,0,441,95,171,181,0,0,0,0
63,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test155.jpg,1,0,541,127,177,140,0,0,0,0
64,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test156.jpg,0,1,0,0,0,0,632,487,54,46
65,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test157.jpg,0,1,0,0,0,0,879,511,69,62
66,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test158.jpg,1,0,399,30,158,168,0,0,0,0
67,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test159.jpg,1,0,718,130,126,96,0,0,0,0
68,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test16.jpg,1,0,415,246,170,197,0,0,0,0
69,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test160.jpg,1,0,689,246,147,162,0,0,0,0
70,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test161.jpg,1,0,697,379,158,89,0,0,0,0
71,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test162.jpg,1,0,710,9,125,130,0,0,0,0
72,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test163.jpg,1,0,812,187,109,118,0,0,0,0
73,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test164.jpg,0,1,0,0,0,0,309,429,67,50
74,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test165.jpg,0,1,0,0,0,0,411,295,66,67
75,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test166.jpg,0,1,0,0,0,0,477,274,62,58
76,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test167.jpg,0,1,0,0,0,0,568,408,76,65
77,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test168.jpg,0,1,0,0,0,0,536,388,67,64
78,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test169.jpg,0,1,0,0,0,0,551,408,72,65
79,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test17.jpg,1,0,687,318,172,173,0,0,0,0
80,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test170.jpg,0,1,0,0,0,0,528,387,48,80
81,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test171.jpg,1,0,524,288,180,190,0,0,0,0
82,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test172.jpg,1,0,501,172,156,292,0,0,0,0
83,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test173.jpg,1,0,496,242,183,211,0,0,0,0
84,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test174.jpg,1,0,561,197,151,185,0,0,0,0
85,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test175.jpg,1,0,551,187,168,187,0,0,0,0
86,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test176.jpg,1,0,506,384,177,178,0,0,0,0
87,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test177.jpg,1,0,341,23,251,269,0,0,0,0
88,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test178.jpg,1,0,324,33,278,248,0,0,0,0
89,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test179.jpg,0,0,0,0,0,0,0,0,0,0
90,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test18.jpg,1,0,592,274,156,201,0,0,0,0
91,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test180.jpg,0,1,0,0,0,0,234,490,67,52
92,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test181.jpg,0,1,0,0,0,0,481,484,69,61
93,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test182.jpg,0,1,0,0,0,0,503,455,73,57
94,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test183.jpg,1,0,728,123,101,162,0,0,0,0
95,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test184.jpg,1,0,629,402,237,182,0,0,0,0
96,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test185.jpg,1,0,624,406,223,177,0,0,0,0
97,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test19.jpg,1,0,592,272,156,203,0,0,0,0
98,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test2.jpg,0,0,0,0,0,0,0,0,0,0
99,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test20.jpg,1,0,638,261,141,157,0,0,0,0
100,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test21.jpg,1,0,465,289,138,161,0,0,0,0
101,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test22.jpg,1,0,490,252,145,164,0,0,0,0
102,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test23.jpg,1,0,606,259,142,166,0,0,0,0
103,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test24.jpg,1,0,397,200,134,169,0,0,0,0
104,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test25.jpg,0,1,0,0,0,0,565,267,70,63
105,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test26.jpg,1,0,442,312,142,143,0,0,0,0
106,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test27.jpg,1,0,778,183,195,163,0,0,0,0
107,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test28.jpg,0,0,0,0,0,0,0,0,0,0
108,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test29.jpg,1,0,864,104,106,89,0,0,0,0
109,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test3.jpg,0,1,0,0,0,0,623,333,77,61
110,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test30.jpg,1,0,587,141,75,66,0,0,0,0
111,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test31.jpg,1,0,696,72,57,43,0,0,0,0
112,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test32.jpg,1,0,453,209,157,145,0,0,0,0
113,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test33.jpg,1,0,539,122,128,123,0,0,0,0
114,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test34.jpg,1,0,882,106,131,116,0,0,0,0
115,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test35.jpg,0,0,0,0,0,0,0,0,0,0
116,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test36.jpg,1,0,450,32,162,63,0,0,0,0
117,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test37.jpg,0,0,0,0,0,0,0,0,0,0
118,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test38.jpg,0,0,0,0,0,0,0,0,0,0
119,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test39.jpg,0,0,0,0,0,0,0,0,0,0
120,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test4.jpg,1,0,411,282,194,171,0,0,0,0
121,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test40.jpg,0,0,0,0,0,0,0,0,0,0
122,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test41.jpg,0,0,0,0,0,0,0,0,0,0
123,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test42.jpg,1,0,719,10,82,79,0,0,0,0
124,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test43.jpg,1,0,452,330,86,69,0,0,0,0
125,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test44.jpg,1,0,452,330,87,67,0,0,0,0
126,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test45.jpg,0,1,0,0,0,0,675,375,85,68
127,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test46.jpg,0,1,0,0,0,0,629,245,85,66
128,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test47.jpg,0,1,0,0,0,0,343,450,72,53
129,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test48.jpg,0,0,0,0,0,0,0,0,0,0
130,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test49.jpg,1,0,349,205,173,97,0,0,0,0
131,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test5.jpg,0,0,0,0,0,0,0,0,0,0
132,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test50.jpg,1,0,534,89,151,149,0,0,0,0
133,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test51.jpg,1,0,594,4,127,126,0,0,0,0
134,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test52.jpg,1,0,437,334,148,135,0,0,0,0
135,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test53.jpg,1,0,258,316,143,138,0,0,0,0
136,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test54.jpg,1,1,259,359,139,118,974,274,51,51
137,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test55.jpg,1,0,256,317,141,134,0,0,0,0
138,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test56.jpg,0,1,0,0,0,0,570,378,94,109
139,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test57.jpg,0,1,0,0,0,0,933,355,80,95
140,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test58.jpg,0,1,0,0,0,0,924,332,96,99
141,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test59.jpg,0,1,0,0,0,0,985,322,94,105
142,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test6.jpg,0,0,0,0,0,0,0,0,0,0
143,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test60.jpg,0,1,0,0,0,0,1007,311,128,110
144,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test61.jpg,0,0,0,0,0,0,0,0,0,0
145,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test62.jpg,1,0,239,267,166,141,0,0,0,0
146,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test63.jpg,1,0,369,218,128,146,0,0,0,0
147,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test64.jpg,1,0,934,122,143,128,0,0,0,0
148,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test65.jpg,1,0,869,128,124,126,0,0,0,0
149,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test66.jpg,1,0,755,110,132,126,0,0,0,0
150,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test67.jpg,0,0,0,0,0,0,0,0,0,0
151,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test68.jpg,1,0,871,303,135,79,0,0,0,0
152,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test69.jpg,1,0,540,266,86,110,0,0,0,0
153,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test7.jpg,0,0,0,0,0,0,0,0,0,0
154,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test70.jpg,1,0,768,199,124,128,0,0,0,0
155,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test71.jpg,0,0,0,0,0,0,0,0,0,0
156,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test72.jpg,1,0,378,208,115,86,0,0,0,0
157,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test73.jpg,1,0,548,152,131,93,0,0,0,0
158,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test74.jpg,1,0,537,160,147,71,0,0,0,0
159,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test75.jpg,1,0,710,100,129,121,0,0,0,0
160,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test76.jpg,1,0,652,135,133,103,0,0,0,0
161,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test77.jpg,1,0,370,158,110,79,0,0,0,0
162,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test78.jpg,0,0,0,0,0,0,0,0,0,0
163,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test79.jpg,0,0,0,0,0,0,0,0,0,0
164,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test8.jpg,1,0,567,366,200,240,0,0,0,0
165,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test80.jpg,0,1,0,0,0,0,637,4,60,55
166,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test81.jpg,0,1,0,0,0,0,550,116,61,49
167,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test82.jpg,1,1,735,240,125,111,411,102,67,70
168,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test83.jpg,1,1,700,226,123,98,414,159,55,55
169,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test84.jpg,1,1,739,255,127,112,426,177,45,55
170,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test85.jpg,1,0,687,220,125,111,0,0,0,0
171,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test86.jpg,1,0,567,198,135,131,0,0,0,0
172,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test87.jpg,0,1,0,0,0,0,659,346,73,78
173,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test88.jpg,0,1,0,0,0,0,779,219,89,56
174,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test89.jpg,0,1,0,0,0,0,611,172,78,90
175,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test9.jpg,1,0,555,359,205,252,0,0,0,0
176,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test90.jpg,0,1,0,0,0,0,648,137,72,67
177,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test91.jpg,1,0,568,196,128,125,0,0,0,0
178,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test92.jpg,1,0,612,1,130,123,0,0,0,0
179,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test93.jpg,1,0,637,220,146,100,0,0,0,0
180,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test94.jpg,0,1,0,0,0,0,478,307,69,80
181,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test95.jpg,0,1,0,0,0,0,738,228,55,51
182,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test96.jpg,1,0,713,221,135,103,0,0,0,0
183,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test97.jpg,1,0,460,326,106,92,0,0,0,0
184,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test98.jpg,1,0,538,206,132,110,0,0,0,0
185,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test99.jpg:,1,0,675,207,136,91,0,0,0,0
